sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
27357;SDS011;14831;50.474;7.616;2026-05-09T00:00:05;31.3;;;19.3;;
27357;SDS011;14831;50.474;7.616;2026-05-09T00:05:05;31.3;;;19.3;;
27357;SDS011;14831;50.474;7.616;2026-05-09T00:10:05;31.3;;;19.3;;
27357;SDS011;14831;50.474;7.616;2026-05-09T00:15:05;31.3;;;19.3;;
27357;SDS011;14831;50.474;7.616;2026-05-09T00:20:05;31.3;;;19.3;;
27357;SDS011;14831;50.474;7.616;2026-05-09T00:25:05;31.3;;;19.3;;
27357;SDS011;14831;50.474;7.616;2026-05-09T00:30:05;31.3;;;19.3;;
27357;SDS011;14831;50.474;7.616;2026-05-09T00:35:05;31.3;;;19.3;;
27357;SDS011;14831;50.474;7.616;2026-05-09T00:40:05;31.3;;;19.3;;
27357;SDS011;14831;50.474;7.616;2026-05-09T00:45:05;31.3;;;19.3;;
27357;SDS011;14831;50.474;7.616;2026-05-09T00:50:05;31.3;;;19.3;;
27357;SDS011;14831;50.474;7.616;2026-05-09T00:55:05;31.3;;;19.3;;
27357;SDS011;14831;50.474;7.616;2026-05-09T01:00:06;31.3;;;19.3;;
27357;SDS011;14831;50.474;7.616;2026-05-09T01:05:05;31.3;;;19.3;;
27357;SDS011;14831;50.474;7.616;2026-05-09T01:10:06;31.3;;;19.3;;
27357;SDS011;14831;50.474;7.616;2026-05-09T01:15:05;31.3;;;19.3;;
27357;SDS011;14831;50.474;7.616;2026-05-09T01:20:05;31.3;;;19.3;;
27357;SDS011;14831;50.474;7.616;2026-05-09T01:25:05;31.3;;;19.3;;
27357;SDS011;14831;50.474;7.616;2026-05-09T01:30:05;31.3;;;19.3;;
27357;SDS011;14831;50.474;7.616;2026-05-09T01:35:05;31.3;;;19.3;;
27357;SDS011;14831;50.474;7.616;2026-05-09T01:40:05;31.3;;;19.3;;
27357;SDS011;14831;50.474;7.616;2026-05-09T01:45:05;31.3;;;19.3;;
27357;SDS011;14831;50.474;7.616;2026-05-09T01:50:05;31.3;;;19.3;;
27357;SDS011;14831;50.474;7.616;2026-05-09T01:55:05;31.3;;;19.3;;
27357;SDS011;14831;50.474;7.616;2026-05-09T02:00:06;31.3;;;19.3;;
27357;SDS011;14831;50.474;7.616;2026-05-09T02:05:05;31.3;;;19.3;;
27357;SDS011;14831;50.474;7.616;2026-05-09T02:10:05;31.3;;;19.3;;
27357;SDS011;14831;50.474;7.616;2026-05-09T02:15:05;31.3;;;19.3;;
27357;SDS011;14831;50.474;7.616;2026-05-09T02:20:05;31.3;;;19.3;;
