area_name,start,finsh,stage,source
buffalo-city-block-1,2025-05-14T16:00:00+02:00,2025-05-14T18:00:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
buffalo-city-block-10,2025-05-15T18:00:00+02:00,2025-05-15T21:00:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
buffalo-city-block-11,2025-05-15T21:00:00+02:00,2025-05-15T22:00:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
buffalo-city-block-12,2025-05-13T16:00:00+02:00,2025-05-13T18:00:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
buffalo-city-block-13,2025-05-13T18:00:00+02:00,2025-05-13T21:00:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
buffalo-city-block-14,2025-05-13T21:00:00+02:00,2025-05-13T22:00:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
buffalo-city-block-15,2025-05-14T16:00:00+02:00,2025-05-14T18:00:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
buffalo-city-block-16,2025-05-14T18:00:00+02:00,2025-05-14T21:00:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
buffalo-city-block-17,2025-05-14T21:00:00+02:00,2025-05-14T22:00:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
buffalo-city-block-2,2025-05-14T18:00:00+02:00,2025-05-14T21:00:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
buffalo-city-block-3,2025-05-14T21:00:00+02:00,2025-05-14T22:00:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
buffalo-city-block-4,2025-05-15T16:00:00+02:00,2025-05-15T18:00:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
buffalo-city-block-5,2025-05-15T18:00:00+02:00,2025-05-15T21:00:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
buffalo-city-block-6,2025-05-15T21:00:00+02:00,2025-05-15T22:00:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
buffalo-city-block-7,2025-05-13T16:00:00+02:00,2025-05-13T18:00:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
buffalo-city-block-8,2025-05-13T18:00:00+02:00,2025-05-13T21:00:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
buffalo-city-block-9,2025-05-13T21:00:00+02:00,2025-05-13T22:00:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
buffalo-city-block-9,2025-05-15T16:00:00+02:00,2025-05-15T18:00:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
city-power-1,2025-05-13T16:00:00+02:00,2025-05-13T16:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
city-power-1,2025-05-14T20:00:00+02:00,2025-05-14T20:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
city-power-10,2025-05-14T16:00:00+02:00,2025-05-14T16:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
city-power-11,2025-05-14T16:00:00+02:00,2025-05-14T16:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
city-power-13,2025-05-13T16:00:00+02:00,2025-05-13T18:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
city-power-14,2025-05-13T16:00:00+02:00,2025-05-13T18:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
city-power-14,2025-05-14T18:00:00+02:00,2025-05-14T20:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
city-power-14,2025-05-15T16:00:00+02:00,2025-05-15T18:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
city-power-15,2025-05-14T18:00:00+02:00,2025-05-14T20:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
city-power-15,2025-05-15T16:00:00+02:00,2025-05-15T18:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
