Date,Discharge (m3/s)
1998-01-01,
1998-01-02,66.0
1998-01-03,66.0
1998-01-04,99.03781843829086
1998-01-05,117.7299987242959
1998-01-06,171.17598463320724
1998-01-07,127.33350702840495
1998-01-08,127.33350702840498
1998-01-09,77.03467239311207
1998-01-10,77.03467239311207
1998-01-11,47.14105671264232
1998-01-12,40.88616874833786
1998-01-13,8.851585558065045
1998-01-14,115.41763395689289
1998-01-15,115.41763395689286
1998-01-16,103.52816544953257
1998-01-17,103.52816544953257
1998-01-18,174.62353651113662
1998-01-19,174.62353651113662
1998-01-20,218.18777500438867
1998-01-21,200.25887272530892
1998-01-22,194.07416004828534
1998-01-23,175.76860125851488
1998-01-24,133.46671892530864
1998-01-25,98.28572706432975
1998-01-26,87.52312637964695
1998-01-27,61.34120114203776
1998-01-28,60.73072637225712
1998-01-29,37.91443700033831
1998-01-30,32.8799322041747
1998-01-31,104.62600759860459
1998-02-01,85.4865922337146
1998-02-02,60.247362844969345
1998-02-03,49.49675416593747
1998-02-04,36.12988876327034
1998-02-05,92.43691931003765
1998-02-06,65.29029515200818
1998-02-07,75.50408190472211
1998-02-08,52.97474469296392
1998-02-09,80.87228464215337
1998-02-10,83.4843213988554
1998-02-11,87.83349716488408
1998-02-12,64.3046724092673
1998-02-13,43.69646061557941
1998-02-14,35.89202988116952
1998-02-15,37.6351138066376
1998-02-16,17.3800173264547
1998-02-17,17.3800173264547
1998-02-18,8.275231906052742
1998-02-19,6.297768821763631
1998-02-20,6.984326475744403
1998-02-21,3.015509403843595
1998-02-22,3.015509403843594
1998-02-23,1.7001166208402867
1998-02-24,1.7001166208402865
1998-02-25,0.6725347369523685
1998-02-26,0.6725347369523687
1998-02-27,123.93131851423718
1998-02-28,80.85999383026402
